ARO Term,Human accessibility,Mobility,Human pathogenicity,Clinical availability,risk,Rank,ARG Class
SHV-93,0.001939395,0,0,5270.289474,0,RI=0,Beta-lactams
SHV-160,0.001808874,0,0,5270.289474,0,RI=0,Beta-lactams
SHV-140,0.000792509,0,0,5270.289474,0,RI=0,Beta-lactams
SHV-22,0.000548471,0,0,5270.289474,0,RI=0,Beta-lactams
GOB-4,0,0,0,5270.289474,0,RI=0,Beta-lactams
SHV-9,0.000990284,0,0,5270.289474,0,RI=0,Beta-lactams
SHV-73,0.001162314,0,0,5270.289474,0,RI=0,Beta-lactams
SHV-164,0.003131163,0,0,5270.289474,0,RI=0,Beta-lactams
SHV-141,0.001489887,0,0,5270.289474,0,RI=0,Beta-lactams
SHV-157,0.001675139,0,0,5270.289474,0,RI=0,Beta-lactams
SHV-18,0.00074671,5,0,5270.289474,0,RI=0,Beta-lactams
GOB-8,0,0,0,5270.289474,0,RI=0,Beta-lactams
SHV-94,0.002349242,0,0,5270.289474,0,RI=0,Beta-lactams
SHV-62,0.001941791,0,0,5270.289474,0,RI=0,Beta-lactams
SHV-21,0.000375266,0,0,5270.289474,0,RI=0,Beta-lactams
SHV-37,0.001600593,0,1,5270.289474,0,RI=0,Beta-lactams
SIM-1 beta-lactamase,0,0,0,5270.289474,0,RI=0,Beta-lactams
GES-26,0,0,0,5270.289474,0,RI=0,Beta-lactams
NDM-18,0,0,0,5270.289474,0,RI=0,Beta-lactams
abcA,2.32845E-05,7,0.183673469,5261.039474,0.15750075,Q4,Multidrug
OCH-3,0.009652093,0,0.75,5252.085432,0,RI=0,Beta-lactams
OCH-2,0.01142378,0,0.016666667,5252.085432,0,RI=0,Beta-lactams
OCH-8,0.000511407,0,0,5252.085432,0,RI=0,Beta-lactams
OCH-6,0,0,0.166666667,5252.085432,0,RI=0,Beta-lactams
OCH-7,0,0,0,5252.085432,0,RI=0,Beta-lactams
OCH-5,0,0,0.2,5252.085432,0,RI=0,Beta-lactams
OCH-1,0,0,0.5,5252.085432,0,RI=0,Beta-lactams
OCH-4,0,0,0.333333333,5252.085432,0,RI=0,Beta-lactams
OXY-1-1,0.029751414,1,0.24,5251.228675,37.49555505,Q2,Beta-lactams
OXY-2-10,0.003809324,1,1,5251.228675,20.00363263,Q3,Beta-lactams
ACC-1,0.002618051,2,0.157894737,5251.228675,4.341469496,Q3,Beta-lactams
OXY-3-1,0.000359376,0,1,5251.228675,0,RI=0,Beta-lactams
ACC-3,0.010372342,0,0.181818182,5251.228675,0,RI=0,Beta-lactams
OXY-2-9,0.000999199,0,1,5251.228675,0,RI=0,Beta-lactams
OXY-2-8,0.00115018,0,1,5251.228675,0,RI=0,Beta-lactams
OXY-1-4,0.028067111,0,0.5,5251.228675,0,RI=0,Beta-lactams
OXY-6-3,0.025115204,0,0,5251.228675,0,RI=0,Beta-lactams
OXY-1-2,0.01569523,0,0,5251.228675,0,RI=0,Beta-lactams
OXY-1-3,0.025212587,0,0.333333333,5251.228675,0,RI=0,Beta-lactams
OXY-5-1,0.111524081,0,0,5251.228675,0,RI=0,Beta-lactams
OXY-2-3,0.001308142,0,0,5251.228675,0,RI=0,Beta-lactams
OXY-2-2,0.005314692,0,1,5251.228675,0,RI=0,Beta-lactams
OXY-2-7,0.002422877,0,1,5251.228675,0,RI=0,Beta-lactams
BEL-1,0,0,0,5251.228675,0,RI=0,Beta-lactams
BEL-2,0,0,0,5251.228675,0,RI=0,Beta-lactams
BEL-3,0,0,0,5251.228675,0,RI=0,Beta-lactams
ACC-5,0.002069879,0,0,5251.228675,0,RI=0,Beta-lactams
OXY-6-2,0.087510562,0,0,5251.228675,0,RI=0,Beta-lactams
OXY-1-6,0.022538369,0,0,5251.228675,0,RI=0,Beta-lactams
OXY-2-5,0.001593907,0,1,5251.228675,0,RI=0,Beta-lactams
OXY-2-1,0.001647963,0,1,5251.228675,0,RI=0,Beta-lactams
OXY-2-6,0.001963037,0,1,5251.228675,0,RI=0,Beta-lactams
OXY-2-4,0.001694801,0,1,5251.228675,0,RI=0,Beta-lactams
OXA-51,0,2,1,5251.228675,0,RI=0,Beta-lactams
OXY-5-2,0.095497265,0,0,5251.228675,0,RI=0,Beta-lactams
ACC-4,0.002287198,0,0,5251.228675,0,RI=0,Beta-lactams
ACC-2,0.00069275,0,0.25,5251.228675,0,RI=0,Beta-lactams
OXY-6-4,0.049244907,0,0,5251.228675,0,RI=0,Beta-lactams
OXY-6-1,0.062545373,0,0,5251.228675,0,RI=0,Beta-lactams
OXY-4-1,0.001977219,0,0,5251.228675,0,RI=0,Beta-lactams
SCO-1,0.000427836,8,0.8,5251.119915,14.37835604,Q3,Beta-lactams
ACI-1,1.303953165,4,0,5251.119915,0,RI=0,Beta-lactams
OXA-1,0.005595833,132,0.895348837,5250.263158,3472.258085,Q1,Beta-lactams
OXA-4,0.002931969,7,0.923076923,5250.263158,99.46639464,Q2,Beta-lactams
OXA-10,0.000404021,46,0.877358491,5250.263158,85.60911818,Q2,Beta-lactams
OXA-21,0.002107737,9,0.714285714,5250.263158,71.13968818,Q2,Beta-lactams
OXA-50,0.002046911,7,0.808510638,5250.263158,60.82244258,Q2,Beta-lactams
OXA-486,0.004906543,2,1,5250.263158,51.52127878,Q2,Beta-lactams
BcII,0.004349799,6,0.346456693,5250.263158,47.47340881,Q2,Beta-lactams
BcI,0.002450768,5,0.469387755,5250.263158,30.19847771,Q2,Beta-lactams
OXA-320,0.002700402,2,1,5250.263158,28.35563771,Q2,Beta-lactams
OXA-60,0.004922527,2,0.333333333,5250.263158,17.22970792,Q3,Beta-lactams
OXA-334,0.004404972,2,0.25,5250.263158,11.56363029,Q3,Beta-lactams
OXA-444,0.001830614,1,0.8,5250.263158,7.688962391,Q3,Beta-lactams
OXA-17,0.000218589,10,0.666666667,5250.263158,7.650998504,Q3,Beta-lactams
OXA-309,0.001159806,1,1,5250.263158,6.089288668,Q3,Beta-lactams
OXA-246,0.000174319,6,1,5250.263158,5.491319652,Q3,Beta-lactams
OXA-264,0.0003881,2,1,5250.263158,4.075254367,Q3,Beta-lactams
OXA-398,6.39512E-05,2,1,5250.263158,0.671521167,Q4,Beta-lactams
OXA-57,0.00012931,1,0.983870968,5250.263158,0.667959317,Q4,Beta-lactams
AIM-1,0.000538317,0,0.375,5250.263158,0,RI=0,Beta-lactams
LRA-8,0.002073603,0,0,5250.263158,0,RI=0,Beta-lactams
TRU-1,0,6,0.958333333,5250.263158,0,RI=0,Beta-lactams
OXA-34,0,0,0,5250.263158,0,RI=0,Beta-lactams
Escherichia coli ampH,10.94436696,0,0,5250.263158,0,RI=0,Beta-lactams
OXA-210,0,1,0,5250.263158,0,RI=0,Beta-lactams
OXA-415,0.000210303,0,0,5250.263158,0,RI=0,Beta-lactams
Escherichia coli ampC,11.77255434,0,0,5250.263158,0,RI=0,Beta-lactams
OXA-724,0.000204775,0,0.5,5250.263158,0,RI=0,Beta-lactams
OXA-226,0.000210303,0,0,5250.263158,0,RI=0,Beta-lactams
OXA-15,0,0,0,5250.263158,0,RI=0,Beta-lactams
OXA-141,0,0,0,5250.263158,0,RI=0,Beta-lactams
OKP-B-5,0.000497264,0,0.166666667,5250.263158,0,RI=0,Beta-lactams
OXA-85,0.295134505,1,0,5250.263158,0,RI=0,Beta-lactams
OXA-59,0,3,1,5250.263158,0,RI=0,Beta-lactams
OXA-22,0.001452091,0,1,5250.263158,0,RI=0,Beta-lactams
OXA-209,0.494374128,5,0,5250.263158,0,RI=0,Beta-lactams
OXA-443,0.000574972,0,0.266666667,5250.263158,0,RI=0,Beta-lactams
OXA-459,0.121885626,0,0,5250.263158,0,RI=0,Beta-lactams
LRA-3,0,0,0,5250.263158,0,RI=0,Beta-lactams
LRA-13,0.017282493,1,0,5250.263158,0,RI=0,Beta-lactams
OXA-280,0.004273267,0,0,5250.263158,0,RI=0,Beta-lactams
OXA-474,0,0,0,5250.263158,0,RI=0,Beta-lactams
OXA-488,0.001511812,0,0.652173913,5250.263158,0,RI=0,Beta-lactams
OXA-485,0.000881639,0,0,5250.263158,0,RI=0,Beta-lactams
OXA-118,0,0,0,5250.263158,0,RI=0,Beta-lactams
OXA-286,0,0,0.5,5250.263158,0,RI=0,Beta-lactams
MOX-5,6.1693E-05,0,0,5250.263158,0,RI=0,Beta-lactams
AST-1,0,0,0,5250.263158,0,RI=0,Beta-lactams
OXA-119,0,0,0,5250.263158,0,RI=0,Beta-lactams
OXA-455,0.046236722,0,0,5250.263158,0,RI=0,Beta-lactams
MOX-7,0.000410574,0,0,5250.263158,0,RI=0,Beta-lactams
OXA-114a,0.114017697,0,0,5250.263158,0,RI=0,Beta-lactams
LRA-10,0.001185912,1,0,5250.263158,0,RI=0,Beta-lactams
Escherichia coli ampC1 beta-lactamase,6.496681402,0,0.920179682,5250.263158,0,RI=0,Beta-lactams
OXA-275,0,0,0,5250.263158,0,RI=0,Beta-lactams
OXA-3,0.001278507,0,0,5250.263158,0,RI=0,Beta-lactams
OXA-161,0,0,0,5250.263158,0,RI=0,Beta-lactams
OXA-288,0,0,0,5250.263158,0,RI=0,Beta-lactams
MOX-8,0,2,1,5250.263158,0,RI=0,Beta-lactams
OXA-198,0,0,0,5250.263158,0,RI=0,Beta-lactams
OXA-304,0,0,0,5250.263158,0,RI=0,Beta-lactams
OXA-274,0.002392801,0,0.25,5250.263158,0,RI=0,Beta-lactams
OXA-181,0,16,1,5250.263158,0,RI=0,Beta-lactams
OXA-281,0.001502329,0,1,5250.263158,0,RI=0,Beta-lactams
OXA-211,0.001334403,0,1,5250.263158,0,RI=0,Beta-lactams
OXA-347,3.737680234,7,0,5250.263158,0,RI=0,Beta-lactams
OXA-14,9.67284E-05,0,0,5250.263158,0,RI=0,Beta-lactams
OXA-251,0.000630415,0,0,5250.263158,0,RI=0,Beta-lactams
OXA-31,0.001804815,0,0,5250.263158,0,RI=0,Beta-lactams
Rhodobacter sphaeroides ampC beta-lactamase,0.000167954,0,0,5250.263158,0,RI=0,Beta-lactams
OXA-16,5.41566E-05,0,0,5250.263158,0,RI=0,Beta-lactams
OXA-256,0.000531693,0,0,5250.263158,0,RI=0,Beta-lactams
OXA-233,0.000314392,0,0,5250.263158,0,RI=0,Beta-lactams
OXA-663,0.000935841,0,0,5250.263158,0,RI=0,Beta-lactams
OXA-240,0.000762713,0,0,5250.263158,0,RI=0,Beta-lactams
OXA-11,0.000267858,0,0,5250.263158,0,RI=0,Beta-lactams
OXA-454,0.000605517,0,0,5250.263158,0,RI=0,Beta-lactams
OXA-74,0.000838379,0,0,5250.263158,0,RI=0,Beta-lactams
OXA-20,0,2,0.4,5250.263158,0,RI=0,Beta-lactams
OXA-470,0,0,0,5250.263158,0,RI=0,Beta-lactams
OXA-9,0,57,0.885245902,5250.263158,0,RI=0,Beta-lactams
OXA-224,0.001702447,0,0,5250.263158,0,RI=0,Beta-lactams
OXA-276,0,0,0.857142857,5250.263158,0,RI=0,Beta-lactams
OKP-B-8,0.001515434,0,0,5250.263158,0,RI=0,Beta-lactams
OXA-140,0.002742001,0,0,5250.263158,0,RI=0,Beta-lactams
OXA-142,0.000506947,0,0,5250.263158,0,RI=0,Beta-lactams
OXA-33,0.001086739,0,0,5250.263158,0,RI=0,Beta-lactams
OXA-46,0,2,0,5250.263158,0,RI=0,Beta-lactams
OXA-37,0,0,0,5250.263158,0,RI=0,Beta-lactams
OXA-368,0.000104797,0,0,5250.263158,0,RI=0,Beta-lactams
OXA-63,0,0,0,5250.263158,0,RI=0,Beta-lactams
OXA-137,8.96496E-05,0,0,5250.263158,0,RI=0,Beta-lactams
OXA-32,0,5,1,5250.263158,0,RI=0,Beta-lactams
OXA-96,0,8,1,5250.263158,0,RI=0,Beta-lactams
OKP-B-7,0.001062657,0,0,5250.263158,0,RI=0,Beta-lactams
LRA-1,0.012743748,0,0,5250.263158,0,RI=0,Beta-lactams
MOX-9,0,6,1,5250.263158,0,RI=0,Beta-lactams
OXA-390,0,0,0,5250.263158,0,RI=0,Beta-lactams
OXA-203,0,0,0,5250.263158,0,RI=0,Beta-lactams
OXA-364,0.005708092,0,0,5250.263158,0,RI=0,Beta-lactams
OXA-178,0,0,0,5250.263158,0,RI=0,Beta-lactams
OXA-388,0,0,0,5250.263158,0,RI=0,Beta-lactams
OXA-259,0,0,1,5250.263158,0,RI=0,Beta-lactams
y56 beta-lactamase,0,0,0.869565217,5250.263158,0,RI=0,Beta-lactams
OXA-350,0,0,0,5250.263158,0,RI=0,Beta-lactams
OXA-326,0,0,0,5250.263158,0,RI=0,Beta-lactams
OXA-270,0,0,0,5250.263158,0,RI=0,Beta-lactams
OXA-417,0,0,1,5250.263158,0,RI=0,Beta-lactams
MOX-4,0,0,0,5250.263158,0,RI=0,Beta-lactams
MOX-2,0,0,0,5250.263158,0,RI=0,Beta-lactams
MOX-3,0,0,0.8,5250.263158,0,RI=0,Beta-lactams
MOX-6,0.027013558,0,1,5250.263158,0,RI=0,Beta-lactams
OXA-232,0,2,1,5250.263158,0,RI=0,Beta-lactams
OXA-535,0,0,0,5250.263158,0,RI=0,Beta-lactams
OXA-427,0.006135793,0,0,5250.263158,0,RI=0,Beta-lactams
OXA-247,0,0,0,5250.263158,0,RI=0,Beta-lactams
OXA-373,0.001854653,0,1,5250.263158,0,RI=0,Beta-lactams
OXA-464,0.000954054,0,0.166666667,5250.263158,0,RI=0,Beta-lactams
OXA-473,0,0,1,5250.263158,0,RI=0,Beta-lactams
OKP-B-20,0.000438322,0,0,5250.263158,0,RI=0,Beta-lactams
OXA-164,0,6,0.166666667,5250.263158,0,RI=0,Beta-lactams
OKP-B-10,0.000320582,0,0,5250.263158,0,RI=0,Beta-lactams
OXA-53,0,2,0.25,5250.263158,0,RI=0,Beta-lactams
OXA-363,0.000921712,0,1,5250.263158,0,RI=0,Beta-lactams
OXA-372,0,0,0,5250.263158,0,RI=0,Beta-lactams
OXA-205,0,2,0.076923077,5250.263158,0,RI=0,Beta-lactams
OXA-36,0.000161427,1,0,5250.263158,0,RI=0,Beta-lactams
LRA-12,0,0,0,5250.263158,0,RI=0,Beta-lactams
OXA-284,0.006238446,0,1,5250.263158,0,RI=0,Beta-lactams
OXA-13,0,0,0,5250.263158,0,RI=0,Beta-lactams
OXA-147,0,0,0,5250.263158,0,RI=0,Beta-lactams
OXA-28,0,0,0,5250.263158,0,RI=0,Beta-lactams
OXA-7,0,0,0,5250.263158,0,RI=0,Beta-lactams
OXA-101,0,5,1,5250.263158,0,RI=0,Beta-lactams
LCR-1,0,3,1,5250.263158,0,RI=0,Beta-lactams
OXA-19,0,0,0,5250.263158,0,RI=0,Beta-lactams
OXA-361,0.005829643,0,0,5250.263158,0,RI=0,Beta-lactams
OXA-56,0,3,1,5250.263158,0,RI=0,Beta-lactams
OXA-145,0,0,0,5250.263158,0,RI=0,Beta-lactams
OXA-129,0,7,0.444444444,5250.263158,0,RI=0,Beta-lactams
OXA-212,0.009383457,0,0,5250.263158,0,RI=0,Beta-lactams
OXA-282,0.000568542,0,1,5250.263158,0,RI=0,Beta-lactams
OXA-360,0,0,1,5250.263158,0,RI=0,Beta-lactams
OXA-335,0.001600763,0,0,5250.263158,0,RI=0,Beta-lactams
OXA-133,0,0,1,5250.263158,0,RI=0,Beta-lactams
OXA-421,0.002281832,0,1,5250.263158,0,RI=0,Beta-lactams
OXA-278,0.001211472,0,0,5250.263158,0,RI=0,Beta-lactams
OXA-285,5.68542E-05,0,1,5250.263158,0,RI=0,Beta-lactams
OXA-103,0,0,1,5250.263158,0,RI=0,Beta-lactams
OXA-271,0.000729782,0,0,5250.263158,0,RI=0,Beta-lactams
OXA-273,0.000591979,0,0.714285714,5250.263158,0,RI=0,Beta-lactams
OXA-333,0.002249709,0,1,5250.263158,0,RI=0,Beta-lactams
OXA-258,5.22184E-05,0,1,5250.263158,0,RI=0,Beta-lactams
OXA-18,0,0,0,5250.263158,0,RI=0,Beta-lactams
OXA-457,0.100487875,0,0,5250.263158,0,RI=0,Beta-lactams
OXA-362,0.000677304,0,1,5250.263158,0,RI=0,Beta-lactams
OXA-277,0,1,1,5250.263158,0,RI=0,Beta-lactams
OXA-283,0.00090472,0,1,5250.263158,0,RI=0,Beta-lactams
OXA-287,0,0,0,5250.263158,0,RI=0,Beta-lactams
SFB-1,0,0,0.25,5250.263158,0,RI=0,Beta-lactams
OXA-664,0,0,0,5250.263158,0,RI=0,Beta-lactams
OXA-55,0,0,0,5250.263158,0,RI=0,Beta-lactams
OKP-B-13,0.000349299,0,0,5250.263158,0,RI=0,Beta-lactams
OKP-B-19,0.000548589,0,0,5250.263158,0,RI=0,Beta-lactams
OXA-322,0,0,1,5250.263158,0,RI=0,Beta-lactams
OXA-330,0,0,0,5250.263158,0,RI=0,Beta-lactams
OXA-358,0,0,1,5250.263158,0,RI=0,Beta-lactams
OXA-267,0,1,0,5250.263158,0,RI=0,Beta-lactams
OXA-332,0,0,0,5250.263158,0,RI=0,Beta-lactams
OXA-328,0,0,0,5250.263158,0,RI=0,Beta-lactams
OXA-324,0,0,0,5250.263158,0,RI=0,Beta-lactams
OXA-353,0,0,0,5250.263158,0,RI=0,Beta-lactams
OXA-352,0,0,0,5250.263158,0,RI=0,Beta-lactams
OXA-354,0,0,0,5250.263158,0,RI=0,Beta-lactams
OXA-29,0,4,0.230769231,5250.263158,0,RI=0,Beta-lactams
OXA-329,0,0,0,5250.263158,0,RI=0,Beta-lactams
OXA-325,0,0,0,5250.263158,0,RI=0,Beta-lactams
OXA-349,0,0,0,5250.263158,0,RI=0,Beta-lactams
OXA-268,0,0,0,5250.263158,0,RI=0,Beta-lactams
LRA-7,6.01298E-05,0,0,5250.263158,0,RI=0,Beta-lactams
OXA-12,0.002075124,0,0.8,5250.263158,0,RI=0,Beta-lactams
LRA-9,0.000230405,0,0,5250.263158,0,RI=0,Beta-lactams
Sed1 beta-lactamase,0.000346914,0,0,5250.263158,0,RI=0,Beta-lactams
LRA-17,0,0,0,5250.263158,0,RI=0,Beta-lactams
LRA-18,0,0,0,5250.263158,0,RI=0,Beta-lactams
LRA-19,0,0,1,5250.263158,0,RI=0,Beta-lactams
OXA-43,0,0,0,5250.263158,0,RI=0,Beta-lactams
OXA-42,0,3,0.083333333,5250.263158,0,RI=0,Beta-lactams
OXA-297,0,0,0,5250.263158,0,RI=0,Beta-lactams
OXA-298,0,0,0,5250.263158,0,RI=0,Beta-lactams
LRA-5,0,0,0,5250.263158,0,RI=0,Beta-lactams
OXA-299,0,1,0.352941176,5250.263158,0,RI=0,Beta-lactams
OXA-296,0,0,0,5250.263158,0,RI=0,Beta-lactams
OKP-A-16,0.000187358,0,0,5250.263158,0,RI=0,Beta-lactams
OXA-228,0,0,0,5250.263158,0,RI=0,Beta-lactams
OXA-355,0,0,1,5250.263158,0,RI=0,Beta-lactams
OXA-301,0.000126517,0,0.5,5250.263158,0,RI=0,Beta-lactams
OXA-418,0.000126517,0,0,5250.263158,0,RI=0,Beta-lactams
OXA-230,0.000126517,0,0,5250.263158,0,RI=0,Beta-lactams
OKP-A-14,0,0,0,5250.263158,0,RI=0,Beta-lactams
OKP-A-13,0.000161612,0,0,5250.263158,0,RI=0,Beta-lactams
OXA-45,0,0,0.5,5250.263158,0,RI=0,Beta-lactams
OXA-213,0,0,0,5250.263158,0,RI=0,Beta-lactams
OXA-305,0,0,0.1,5250.263158,0,RI=0,Beta-lactams
OXA-5,0,0,0,5250.263158,0,RI=0,Beta-lactams
OXA-392,0.000174309,0,0,5250.263158,0,RI=0,Beta-lactams
OXA-47,0,0,0,5250.263158,0,RI=0,Beta-lactams
OXA-35,0,4,1,5250.263158,0,RI=0,Beta-lactams
OXA-294,0,0,0,5250.263158,0,RI=0,Beta-lactams
OXA-295,0,0,0,5250.263158,0,RI=0,Beta-lactams
LRA-2,0,1,0.777777778,5250.263158,0,RI=0,Beta-lactams
OKP-A-11,0.000355601,0,0,5250.263158,0,RI=0,Beta-lactams
ROB-1,0.003777719,5,0,5250.263158,0,RI=0,Beta-lactams
OXA-134,0.000883839,0,1,5250.263158,0,RI=0,Beta-lactams
OXA-300,0.000126517,0,0,5250.263158,0,RI=0,Beta-lactams
OXA-266,0,0,1,5250.263158,0,RI=0,Beta-lactams
OXA-397,0,0,0,5250.263158,0,RI=0,Beta-lactams
OXA-420,0,8,1,5250.263158,0,RI=0,Beta-lactams
OXA-436,0,1,0,5250.263158,0,RI=0,Beta-lactams
OXA-400,0,0,0,5250.263158,0,RI=0,Beta-lactams
OXA-237,0,2,1,5250.263158,0,RI=0,Beta-lactams
OXA-279,0,0,0,5250.263158,0,RI=0,Beta-lactams
OXA-58,0,50,1,5250.263158,0,RI=0,Beta-lactams
OXA-155,0,4,0,5250.263158,0,RI=0,Beta-lactams
OXA-236,0,0,0,5250.263158,0,RI=0,Beta-lactams
OXA-235,0,4,1,5250.263158,0,RI=0,Beta-lactams
OXA-243,0.027918868,0,1,5250.263158,0,RI=0,Beta-lactams
NPS-1,0,4,0.75,5250.263158,0,RI=0,Beta-lactams
OXA-152,0,0,0,5250.263158,0,RI=0,Beta-lactams
OXA-183,0,0,0,5250.263158,0,RI=0,Beta-lactams
OXA-192,8.13576E-05,0,0.096774194,5250.263158,0,RI=0,Beta-lactams
OXA-465,0,0,0.909090909,5250.263158,0,RI=0,Beta-lactams
OXA-449,0,0,1,5250.263158,0,RI=0,Beta-lactams
OXA-448,0,0,0,5250.263158,0,RI=0,Beta-lactams
OXA-54,0,0,0.5,5250.263158,0,RI=0,Beta-lactams
OXA-23,0,25,1,5250.263158,0,RI=0,Beta-lactams
OXA-423,0,0,0,5250.263158,0,RI=0,Beta-lactams
OXA-440,0,0,1,5250.263158,0,RI=0,Beta-lactams
OXA-306,6.28051E-05,0,0,5250.263158,0,RI=0,Beta-lactams
OXA-292,0,0,0,5250.263158,0,RI=0,Beta-lactams
Acinetobacter baumannii AmpC beta-lactamase,0,0,0,5250.263158,0,RI=0,Beta-lactams
OXA-426,0,0,0,5250.263158,0,RI=0,Beta-lactams
OXA-117,0,0,0,5250.263158,0,RI=0,Beta-lactams
OXA-386,0,0,0,5250.263158,0,RI=0,Beta-lactams
OXA-206,0,0,0,5250.263158,0,RI=0,Beta-lactams
OXA-107,0,0,0,5250.263158,0,RI=0,Beta-lactams
OXA-109,0,2,1,5250.263158,0,RI=0,Beta-lactams
OXA-125,0,0,0,5250.263158,0,RI=0,Beta-lactams
OXA-168,0,3,0.5,5250.263158,0,RI=0,Beta-lactams
OXA-27,0,0,0,5250.263158,0,RI=0,Beta-lactams
OXA-366,0,3,1,5250.263158,0,RI=0,Beta-lactams
OXA-225,0,4,1,5250.263158,0,RI=0,Beta-lactams
OXA-171,0,0,0,5250.263158,0,RI=0,Beta-lactams
OXA-169,0,0,0,5250.263158,0,RI=0,Beta-lactams
OXA-73,0,0,0,5250.263158,0,RI=0,Beta-lactams
OXA-49,0,0,0,5250.263158,0,RI=0,Beta-lactams
OXA-167,0,0,0,5250.263158,0,RI=0,Beta-lactams
OXA-483,0,3,1,5250.263158,0,RI=0,Beta-lactams
OXA-435,0,0,0,5250.263158,0,RI=0,Beta-lactams
OXA-166,0,3,1,5250.263158,0,RI=0,Beta-lactams
OXA-165,0,0,0,5250.263158,0,RI=0,Beta-lactams
OXA-482,0.000522852,0,0,5250.263158,0,RI=0,Beta-lactams
OXA-239,0,2,1,5250.263158,0,RI=0,Beta-lactams
OXA-422,0.000597257,0,0,5250.263158,0,RI=0,Beta-lactams
OXA-170,0,0,0,5250.263158,0,RI=0,Beta-lactams
OXA-146,0,0,0,5250.263158,0,RI=0,Beta-lactams
OXA-272,0,0,0.5,5250.263158,0,RI=0,Beta-lactams
OXA-380,0,0,0,5250.263158,0,RI=0,Beta-lactams
OXA-65,0,2,1,5250.263158,0,RI=0,Beta-lactams
OXA-124,0,0,0,5250.263158,0,RI=0,Beta-lactams
OKP-A-9,0,0,0,5250.263158,0,RI=0,Beta-lactams
OXA-217,0,0,1,5250.263158,0,RI=0,Beta-lactams
OXA-106,6.83824E-05,0,1,5250.263158,0,RI=0,Beta-lactams
OXA-68,0,3,1,5250.263158,0,RI=0,Beta-lactams
OXA-384,0,0,0,5250.263158,0,RI=0,Beta-lactams
OXA-172,0,0,0,5250.263158,0,RI=0,Beta-lactams
OXA-442,0,0,0,5250.263158,0,RI=0,Beta-lactams
OXA-431,0,0,0,5250.263158,0,RI=0,Beta-lactams
OXA-303,0,0,0,5250.263158,0,RI=0,Beta-lactams
OKP-A-8,6.90064E-05,0,0,5250.263158,0,RI=0,Beta-lactams
OXA-215,0,0,0,5250.263158,0,RI=0,Beta-lactams
OXA-250,0,0,0,5250.263158,0,RI=0,Beta-lactams
OXA-216,0,0,0,5250.263158,0,RI=0,Beta-lactams
OXA-180,0,0,1,5250.263158,0,RI=0,Beta-lactams
OXA-430,0.000677438,0,0,5250.263158,0,RI=0,Beta-lactams
OXA-342,0,0,0,5250.263158,0,RI=0,Beta-lactams
OKP-A-15,0,0,0,5250.263158,0,RI=0,Beta-lactams
OKP-B-12,0.000524623,0,0,5250.263158,0,RI=0,Beta-lactams
OKP-B-6,0.001113579,0,0,5250.263158,0,RI=0,Beta-lactams
OKP-A-3,0.000109027,0,0,5250.263158,0,RI=0,Beta-lactams
OKP-B-18,0.001710496,0,0,5250.263158,0,RI=0,Beta-lactams
OKP-A-4,0,2,0,5250.263158,0,RI=0,Beta-lactams
OKP-B-4,0.000901579,0,0,5250.263158,0,RI=0,Beta-lactams
OKP-A-6,0.000415807,0,0.666666667,5250.263158,0,RI=0,Beta-lactams
OXA-229,0.000126517,0,0,5250.263158,0,RI=0,Beta-lactams
OXA-356,0,0,0,5250.263158,0,RI=0,Beta-lactams
OXA-90,0,2,1,5250.263158,0,RI=0,Beta-lactams
OXA-200,0,0,0,5250.263158,0,RI=0,Beta-lactams
OXA-132,0,0,1,5250.263158,0,RI=0,Beta-lactams
OXA-346,0,0,0,5250.263158,0,RI=0,Beta-lactams
OXA-432,0,0,0,5250.263158,0,RI=0,Beta-lactams
OXA-345,0,0,0,5250.263158,0,RI=0,Beta-lactams
OXA-458,0.021040627,0,0,5250.263158,0,RI=0,Beta-lactams
OXA-128,0,0,0,5250.263158,0,RI=0,Beta-lactams
OXA-84,0,0,0.166666667,5250.263158,0,RI=0,Beta-lactams
OXA-402,0,0,1,5250.263158,0,RI=0,Beta-lactams
OXA-120,0,0,1,5250.263158,0,RI=0,Beta-lactams
OXA-86,0,0,0,5250.263158,0,RI=0,Beta-lactams
OXA-87,0,0,0,5250.263158,0,RI=0,Beta-lactams
OXA-100,0,0,1,5250.263158,0,RI=0,Beta-lactams
OXA-67,0,2,1,5250.263158,0,RI=0,Beta-lactams
OXA-208,0,0,1,5250.263158,0,RI=0,Beta-lactams
OXA-112,0,0,0,5250.263158,0,RI=0,Beta-lactams
OXA-371,0,2,1,5250.263158,0,RI=0,Beta-lactams
OXA-130,0,0,0,5250.263158,0,RI=0,Beta-lactams
OXA-248,0,0,0,5250.263158,0,RI=0,Beta-lactams
OXA-339,0,0,0,5250.263158,0,RI=0,Beta-lactams
OXA-69,0,0,1,5250.263158,0,RI=0,Beta-lactams
OXA-98,0,0,1,5250.263158,0,RI=0,Beta-lactams
OXA-92,0,1,0.166666667,5250.263158,0,RI=0,Beta-lactams
OXA-108,0,0,0,5250.263158,0,RI=0,Beta-lactams
OXA-404,0,0,0,5250.263158,0,RI=0,Beta-lactams
OXA-433,0,0,0,5250.263158,0,RI=0,Beta-lactams
OXA-376,0,0,0,5250.263158,0,RI=0,Beta-lactams
OXA-93,0,0,0,5250.263158,0,RI=0,Beta-lactams
OXA-88,0,0,0,5250.263158,0,RI=0,Beta-lactams
OXA-110,0,0,0,5250.263158,0,RI=0,Beta-lactams
