qseqid	sseqid	identity	length	mismatch	gapopen	qstart	qend	sstart	send	evalue	bitscore	aro_accession	ARO Accession	CVTERM ID	Model Sequence ID	Model ID	Model Name	ARO Name	Protein Accession	DNA Accession	AMR Gene Family	Drug Class	Resistance Mechanism	vfw1	vfw2	vfw3	vfw4	vfw5	vfw6	vfw7	vfw8	vfw9	vfd1	vfd2	vfd3	vfd4	vfd5	vfd6	vfd7	vfd8	vfd9	spw1	spw2	spw3	spw4	spw5	spw6	spw7	spw8	spw9	spd1	spd2	spd3	spd4	spd5	spd6	spd7	spd8	spd9	kingdom	phylum	class	order	family	genus	species
seq_11220633	gb|AAC60781.1|ARO:3003048|rosA	69.0	174	54	0	235	408	1	174	1.3000000000000002e-57	228.4	ARO:3003048	ARO:3003048	39482	4717	1261	rosA	rosA	AAC60781.1	U46859.1	major facilitator superfamily (MFS) antibiotic efflux pump	peptide antibiotic	antibiotic efflux	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.212666	0.0	0.0	0.0	0.158264	0.0	0.0	0.384044	0.710987	0.101646	0.265015	0.438224	0.322437	0.118092	0.324613	0.118263	0.0	0.0	0.0	0.450326	0.185688	0.917931	d__Bacteria	p__Proteobacteria	c__Betaproteobacteria	o__Burkholderiales	f__unknown	g__Thiomonas	s__Thiomonas sp. CB3
seq_01127331	gb|AAC60781.1|ARO:3003048|rosA	67.7	158	51	0	250	407	1	158	7e-51	206.1	ARO:3003048	ARO:3003048	39482	4717	1261	rosA	rosA	AAC60781.1	U46859.1	major facilitator superfamily (MFS) antibiotic efflux pump	peptide antibiotic	antibiotic efflux	0.106488	0.0	0.0	0.0	0.0	0.0	0.32378	0.0	0.0	0.147166	0.0	0.152153	0.267088	0.145212	1.14827	0.298494	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	d__Bacteria	p__Proteobacteria	c__Alphaproteobacteria	o__Hyphomicrobiales	f__Hyphomicrobiaceae	g__Methyloceanibacter	s__Methyloceanibacter caenitepidi
seq_06522217	gb|AAC60781.1|ARO:3003048|rosA	60.6	142	46	2	2	143	3	134	3.7e-36	157.1	ARO:3003048	ARO:3003048	39482	4717	1261	rosA	rosA	AAC60781.1	U46859.1	major facilitator superfamily (MFS) antibiotic efflux pump	peptide antibiotic	antibiotic efflux	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.458333	0.134295	0.15356	0.0	0.0	0.0	0.0	0.0	0.0	0.043923	0.157531	0.137921	0.0	0.0	0.0	0.0	d__Bacteria	p__Proteobacteria	c__Betaproteobacteria	o__Burkholderiales	f__Oxalobacteraceae	g__Herbaspirillum	s__Herbaspirillum sp. 3R-3a1
seq_10010612	gb|AAC60781.1|ARO:3003048|rosA	61.8	173	62	3	24	194	34	204	4e-46	190.3	ARO:3003048	ARO:3003048	39482	4717	1261	rosA	rosA	AAC60781.1	U46859.1	major facilitator superfamily (MFS) antibiotic efflux pump	peptide antibiotic	antibiotic efflux	0.0	0.0	0.053336	0.0	0.092675	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.168157	0.0	0.0	0.0	0.062913	0.111314	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.372248	0.0	0.186084	0.265535	0.544866	0.123029	0.0	0.0	0.0	d__Bacteria	p__Proteobacteria	c__Betaproteobacteria	o__Burkholderiales	f__Oxalobacteraceae	g__Collimonas	s__Collimonas arenae
seq_11486415	gb|AAC60781.1|ARO:3003048|rosA	68.5	149	47	0	260	408	1	149	8.499999999999999e-49	199.1	ARO:3003048	ARO:3003048	39482	4717	1261	rosA	rosA	AAC60781.1	U46859.1	major facilitator superfamily (MFS) antibiotic efflux pump	peptide antibiotic	antibiotic efflux	0.123805	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.105778	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.818987	0.0	0.428133	0.625069	0.821895	0.411895	0.0	0.0	0.0	0.0	0.0	0.0	0.907118	1.45767	0.312105	d__Bacteria	p__Proteobacteria	c__Betaproteobacteria	o__Nitrosomonadales	f__Thiobacillaceae	g__Thiobacillus	s__Thiobacillus sp.
seq_06708457	gb|AAC60781.1|ARO:3003048|rosA	72.1	348	92	4	20	365	8	352	5.1e-126	455.7	ARO:3003048	ARO:3003048	39482	4717	1261	rosA	rosA	AAC60781.1	U46859.1	major facilitator superfamily (MFS) antibiotic efflux pump	peptide antibiotic	antibiotic efflux	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.048896	0.105461	0.279313	0.188003	0.04377	0.047659	0.18144	0.092163	0.120109	0.0	0.035383	0.0	0.0	0.0	0.0	0.0	0.0	0.0	d__Bacteria	p__Proteobacteria	c__Gammaproteobacteria	o__Enterobacterales	f__Enterobacteriaceae	g__Escherichia	s__Escherichia coli
seq_01644501	gb|AAC60781.1|ARO:3003048|rosA	64.5	155	55	0	253	407	1	155	5.5e-48	196.4	ARO:3003048	ARO:3003048	39482	4717	1261	rosA	rosA	AAC60781.1	U46859.1	major facilitator superfamily (MFS) antibiotic efflux pump	peptide antibiotic	antibiotic efflux	0.0	0.094935	0.0	0.0	0.0	0.133354	0.0	0.167722	0.085337	0.0	0.0	0.0	0.0	0.0	0.226198	0.175689	1.05648	0.474164	0.0	0.0	0.088168	0.0	0.0	0.0	0.0	0.0	0.0	0.125717	0.0	0.0	0.0	0.104061	0.0	0.0	0.0	0.0	d__Bacteria	p__Proteobacteria	c__Alphaproteobacteria	o__Hyphomicrobiales	f__Hyphomicrobiaceae	g__Methyloceanibacter	s__Methyloceanibacter caenitepidi
seq_08203430	gb|AAC75271.1|ARO:3003952|yojI	100.0	120	0	0	428	547	1	120	3.8e-60	237.3	ARO:3003952	ARO:3003952	40722	5261	2424	yojI	YojI	AAC75271.1	U00096.3	ATP-binding cassette (ABC) antibiotic efflux pump	peptide antibiotic	antibiotic efflux	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.367061	0.377046	0.0	0.17324	0.0	0.0	0.0	0.349643	0.722945	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	d__Bacteria	p__Proteobacteria	c__Gammaproteobacteria	o__Enterobacterales	f__Enterobacteriaceae	g__Escherichia	s__Escherichia coli
seq_07887422	gb|AAC75271.1|ARO:3003952|yojI	100.0	388	0	0	1	388	1	388	9.5e-213	744.2	ARO:3003952	ARO:3003952	40722	5261	2424	yojI	YojI	AAC75271.1	U00096.3	ATP-binding cassette (ABC) antibiotic efflux pump	peptide antibiotic	antibiotic efflux	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.335279	0.198713	0.143998	0.108855	0.324066	0.187594	0.240131	0.410523	0.280773	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.026263	0.0	d__Bacteria	p__Proteobacteria	c__Gammaproteobacteria	o__Enterobacterales	f__Enterobacteriaceae	g__Escherichia	s__Escherichia coli
seq_05657766	gb|AAC75271.1|ARO:3003952|yojI	100.0	412	0	0	117	528	1	412	2.3e-235	819.3	ARO:3003952	ARO:3003952	40722	5261	2424	yojI	YojI	AAC75271.1	U00096.3	ATP-binding cassette (ABC) antibiotic efflux pump	peptide antibiotic	antibiotic efflux	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.23293	0.045913	0.160546	0.111696	0.221117	0.101977	0.249232	0.0	0.225905	0.0	0.057172	0.0	0.0	0.0	0.0	0.0	0.0	0.0	d__Bacteria	p__Proteobacteria	c__Gammaproteobacteria	o__Enterobacterales	f__Enterobacteriaceae	g__Escherichia	s__Escherichia coli
seq_04124517	gb|AAG06942.1|ARO:3002985|arnA	64.8	494	168	5	170	659	4	495	9.5e-191	671.4	ARO:3002985	ARO:3002985	39419	5385	1643	arnA	arnA	AAG06942.1	AE004091.2	pmr phosphoethanolamine transferase	peptide antibiotic	antibiotic target alteration	0.0	0.0	0.025184	0.0	0.022572	0.15903	0.550421	0.103163	0.065743	0.08728	0.066178	0.0	0.035927	0.04848	0.0	0.017389	0.0	0.056203	0.016502	0.0	0.017446	0.0	0.044534	0.021258	0.0	0.0	0.0	0.0	0.0	0.0	0.033685	0.028031	0.0	0.017746	0.0	0.0	d__Bacteria	p__Proteobacteria	c__Deltaproteobacteria	o__Desulfobacterales	f__Desulfobacteraceae	g__Desulfococcus	s__Desulfococcus sp. 4484_242
seq_11157894	gb|AAG06942.1|ARO:3002985|arnA	60.7	336	129	3	320	653	1	335	3.1999999999999998e-114	417.2	ARO:3002985	ARO:3002985	39419	5385	1643	arnA	arnA	AAG06942.1	AE004091.2	pmr phosphoethanolamine transferase	peptide antibiotic	antibiotic target alteration	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.095423	0.0	0.172704	0.207142	0.284775	0.110771	0.0	0.0	0.0	0.0	0.0	0.0	0.058241	0.0	0.673221	d__Bacteria	p__Proteobacteria	c__Deltaproteobacteria	o__unknown	f__unknown	g__unknown	s__Deltaproteobacteria bacterium
seq_07264089	gb|AAG06942.1|ARO:3002985|arnA	73.7	358	91	2	299	653	1	358	2e-156	557.4	ARO:3002985	ARO:3002985	39419	5385	1643	arnA	arnA	AAG06942.1	AE004091.2	pmr phosphoethanolamine transferase	peptide antibiotic	antibiotic target alteration	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.024845	0.0	0.0	0.35321	0.370126	0.511908	0.0	0.02755	0.025645	0.467351	0.332734	0.040883	0.0	0.0	0.023477	0.026922	0.0	0.0	d__Bacteria	p__Proteobacteria	c__Gammaproteobacteria	o__Aeromonadales	f__Aeromonadaceae	g__Aeromonas	s__Aeromonas veronii
seq_01119457	gb|AAG06942.1|ARO:3002985|arnA	66.5	355	114	3	243	593	1	354	2.1e-137	494.2	ARO:3002985	ARO:3002985	39419	5385	1643	arnA	arnA	AAG06942.1	AE004091.2	pmr phosphoethanolamine transferase	peptide antibiotic	antibiotic target alteration	0.0	0.0	0.020427	0.0	0.0	0.0	0.047613	0.05482	0.194623	0.0	0.0	0.0	0.069846	0.116133	0.414432	0.026143	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.033735	0.028896	0.0	0.081135	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.029792	0.242137	d__Bacteria	p__Proteobacteria	c__Deltaproteobacteria	o__Desulfobacterales	f__Desulfobacteraceae	g__Desulfobacter	s__Desulfobacter curvatus
seq_07448156	gb|AAG06942.1|ARO:3002985|arnA	60.2	334	132	1	319	651	4	337	5.5e-114	416.4	ARO:3002985	ARO:3002985	39419	5385	1643	arnA	arnA	AAG06942.1	AE004091.2	pmr phosphoethanolamine transferase	peptide antibiotic	antibiotic target alteration	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.144397	0.146032	0.115332	0.982825	1.20403	1.18969	0.117051	0.144394	0.0	0.0	0.095349	0.07649	0.968679	2.05332	0.969871	d__Bacteria	p__Proteobacteria	c__Gammaproteobacteria	o__Acidiferrobacterales	f__Acidiferrobacteraceae	g__Acidiferrobacter	s__Acidiferrobacter thiooxydans
seq_00880316	gb|AAG06942.1|ARO:3002985|arnA	68.5	343	103	3	271	609	1	342	1.8999999999999998e-138	497.7	ARO:3002985	ARO:3002985	39419	5385	1643	arnA	arnA	AAG06942.1	AE004091.2	pmr phosphoethanolamine transferase	peptide antibiotic	antibiotic target alteration	0.0	0.0	0.0	0.168908	0.03825	0.463362	0.59866	0.028722	0.087409	0.0	0.0	0.042527	0.0	0.365752	0.144982	0.054904	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	d__Bacteria	p__Proteobacteria	c__Deltaproteobacteria	o__Desulfobacterales	f__Desulfobacteraceae	g__unknown	s__Desulfobacteraceae bacterium IS3
seq_07620364	gb|AAG06942.1|ARO:3002985|arnA	62.9	321	114	3	184	500	1	320	1.3e-115	421.8	ARO:3002985	ARO:3002985	39419	5385	1643	arnA	arnA	AAG06942.1	AE004091.2	pmr phosphoethanolamine transferase	peptide antibiotic	antibiotic target alteration	0.0	0.065022	0.023755	0.0	0.063311	0.0	0.067863	0.084545	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.08214	0.053455	0.0	0.0	0.062651	0.0	0.155491	0.333341	0.133906	0.249427	0.0	0.0	0.0	0.0	0.0	0.0	0.164395	0.040352	0.039971	d__Bacteria	p__Proteobacteria	c__Deltaproteobacteria	o__Desulfobacterales	f__Desulfobacteraceae	g__Desulfobacter	s__Desulfobacter curvatus
seq_02987883	gb|AAG06942.1|ARO:3002985|arnA	72.2	291	80	1	373	662	2	292	1.1e-125	455.3	ARO:3002985	ARO:3002985	39419	5385	1643	arnA	arnA	AAG06942.1	AE004091.2	pmr phosphoethanolamine transferase	peptide antibiotic	antibiotic target alteration	0.039326	0.276807	0.477969	0.340013	0.470772	0.168321	0.483891	0.104507	0.035351	0.152499	0.372858	0.364195	0.044947	0.348033	0.309972	0.100883	0.254453	0.228351	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.038262	0.0	d__Bacteria	p__Proteobacteria	c__Deltaproteobacteria	o__Desulfobacterales	f__Desulfobacteraceae	g__unknown	s__Desulfobacteraceae bacterium IS3
seq_09665505	gb|AAG06942.1|ARO:3002985|arnA	67.4	438	137	4	221	653	2	438	1.2e-172	611.3	ARO:3002985	ARO:3002985	39419	5385	1643	arnA	arnA	AAG06942.1	AE004091.2	pmr phosphoethanolamine transferase	peptide antibiotic	antibiotic target alteration	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.037199	0.049486	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.080447	0.0	0.106722	0.741952	0.108957	0.049153	0.0	0.0	0.0	d__Bacteria	p__Proteobacteria	c__Gammaproteobacteria	o__Enterobacterales	f__Morganellaceae	g__Providencia	s__Providencia rettgeri
seq_04178963	gb|AAG06942.1|ARO:3002985|arnA	73.9	284	73	1	371	653	1	284	5.1e-128	463.0	ARO:3002985	ARO:3002985	39419	5385	1643	arnA	arnA	AAG06942.1	AE004091.2	pmr phosphoethanolamine transferase	peptide antibiotic	antibiotic target alteration	0.040306	0.0	0.027285	0.0	0.048345	0.127168	0.123965	0.356991	0.0	0.0	0.0	0.0	0.0	0.0	0.272556	0.0	0.05222	0.046862	0.0	0.0	0.0	0.0	0.0	0.0	0.037963	0.114253	0.07097	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	d__Bacteria	p__Proteobacteria	c__Gammaproteobacteria	o__Aeromonadales	f__Aeromonadaceae	g__Aeromonas	s__Aeromonas sp. HMWF016
seq_04614601	gb|AAG06942.1|ARO:3002985|arnA	66.8	395	126	3	266	656	1	394	1.5e-156	557.8	ARO:3002985	ARO:3002985	39419	5385	1643	arnA	arnA	AAG06942.1	AE004091.2	pmr phosphoethanolamine transferase	peptide antibiotic	antibiotic target alteration	0.0	0.0	0.0	0.0	0.0	0.0	0.118516	0.066676	1.072	0.0	0.0	0.0	0.028742	0.0319	0.056979	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.044682	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	d__Bacteria	p__Proteobacteria	c__Deltaproteobacteria	o__Desulfobacterales	f__Desulfobacteraceae	g__Desulfobacter	s__Desulfobacter curvatus
seq_11091377	gb|AAG06942.1|ARO:3002985|arnA	66.2	367	116	5	179	540	37	400	2.6e-140	503.8	ARO:3002985	ARO:3002985	39419	5385	1643	arnA	arnA	AAG06942.1	AE004091.2	pmr phosphoethanolamine transferase	peptide antibiotic	antibiotic target alteration	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.026295	0.030059	0.0	0.024486	0.12321	0.022932	0.0	0.029728	0.031955	0.0	0.0	0.0	0.0	0.050418	0.702287	d__Bacteria	p__Proteobacteria	c__Deltaproteobacteria	o__Desulfobacterales	f__Desulfobacteraceae	g__Desulfatirhabdium	s__Desulfatirhabdium butyrativorans
seq_00807639	gb|AAG06942.1|ARO:3002985|arnA	67.3	303	98	1	354	655	3	305	7.6e-124	449.1	ARO:3002985	ARO:3002985	39419	5385	1643	arnA	arnA	AAG06942.1	AE004091.2	pmr phosphoethanolamine transferase	peptide antibiotic	antibiotic target alteration	0.075003	0.075444	0.075611	0.194808	0.022366	0.053541	0.173102	0.099684	0.223603	0.193557	0.132985	0.099027	0.299288	0.567796	0.084315	0.031992	0.0	0.217288	0.0	0.0	0.0	0.075848	0.0	0.0	0.0	0.053441	0.032956	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.211466	d__Bacteria	p__Proteobacteria	c__Deltaproteobacteria	o__Desulfobacterales	f__Desulfobacteraceae	g__Desulfobacter	s__Desulfobacter curvatus
seq_05759538	gb|AAG06942.1|ARO:3002985|arnA	69.7	650	194	3	4	651	2	650	4.7e-275	951.4	ARO:3002985	ARO:3002985	39419	5385	1643	arnA	arnA	AAG06942.1	AE004091.2	pmr phosphoethanolamine transferase	peptide antibiotic	antibiotic target alteration	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.408076	0.261963	0.353556	0.102262	0.235055	0.169191	0.223083	0.270311	0.505719	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.053838	0.015614	d__Bacteria	p__Proteobacteria	c__Gammaproteobacteria	o__Enterobacterales	f__Enterobacteriaceae	g__Escherichia	s__Escherichia coli
seq_04598494	gb|AAG06942.1|ARO:3002985|arnA	71.3	300	81	3	260	555	1	299	1.4e-122	444.9	ARO:3002985	ARO:3002985	39419	5385	1643	arnA	arnA	AAG06942.1	AE004091.2	pmr phosphoethanolamine transferase	peptide antibiotic	antibiotic target alteration	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.002328	1.79722	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.068517	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	d__Bacteria	p__Proteobacteria	c__Deltaproteobacteria	o__Desulfobacterales	f__Desulfobacteraceae	g__Desulfobacter	s__Desulfobacter curvatus
seq_09600091	gb|AAG06942.1|ARO:3002985|arnA	64.5	324	109	4	185	503	3	325	1e-115	422.2	ARO:3002985	ARO:3002985	39419	5385	1643	arnA	arnA	AAG06942.1	AE004091.2	pmr phosphoethanolamine transferase	peptide antibiotic	antibiotic target alteration	0.0	0.0	0.0	0.0	0.041238	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.029531	0.05235	0.0	0.0	0.120231	0.0	0.0	0.0	0.0	0.0	0.0	0.17072	0.488844	0.069857	0.084067	0.0	0.0	0.0	d__Bacteria	p__Proteobacteria	c__Gammaproteobacteria	o__Aeromonadales	f__Aeromonadaceae	g__Aeromonas	s__Aeromonas hydrophila
seq_04673317	gb|AAG06942.1|ARO:3002985|arnA	71.9	302	80	3	258	555	12	312	2.6000000000000004e-124	450.7	ARO:3002985	ARO:3002985	39419	5385	1643	arnA	arnA	AAG06942.1	AE004091.2	pmr phosphoethanolamine transferase	peptide antibiotic	antibiotic target alteration	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.032479	0.692043	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	d__Bacteria	p__Proteobacteria	c__Deltaproteobacteria	o__Desulfobacterales	f__Desulfobacteraceae	g__Desulfobacter	s__Desulfobacter curvatus
seq_11501779	gb|AAG06942.1|ARO:3002985|arnA	63.1	306	112	1	319	623	4	309	1.8e-112	411.4	ARO:3002985	ARO:3002985	39419	5385	1643	arnA	arnA	AAG06942.1	AE004091.2	pmr phosphoethanolamine transferase	peptide antibiotic	antibiotic target alteration	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.043248	0.127041	0.056294	0.067037	0.0	0.0	0.122661	0.0	0.0	0.0	0.092281	0.469165	0.137915	0.043869	0.0	0.0	0.06927	0.21743	0.0	d__Bacteria	p__Proteobacteria	c__Deltaproteobacteria	o__Syntrophales	f__Syntrophaceae	g__Desulfobacca	s__Desulfobacca acetoxidans
seq_09834501	gb|AAG06942.1|ARO:3002985|arnA	77.6	286	63	1	369	653	1	286	3.7e-134	483.4	ARO:3002985	ARO:3002985	39419	5385	1643	arnA	arnA	AAG06942.1	AE004091.2	pmr phosphoethanolamine transferase	peptide antibiotic	antibiotic target alteration	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.033837	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.206066	0.532084	0.0	0.0	0.0	0.0	d__Bacteria	p__Proteobacteria	c__Gammaproteobacteria	o__Enterobacterales	f__Morganellaceae	g__Providencia	s__Providencia rettgeri
seq_10005880	gb|AAG06942.1|ARO:3002985|arnA	60.3	378	145	3	93	466	2	378	5.3e-125	453.0	ARO:3002985	ARO:3002985	39419	5385	1643	arnA	arnA	AAG06942.1	AE004091.2	pmr phosphoethanolamine transferase	peptide antibiotic	antibiotic target alteration	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.047752	0.063507	0.050441	0.0	0.0	0.030747	0.0	0.0	0.0	0.138113	0.031963	0.034373	0.237748	0.449624	0.071853	0.0	0.0	0.0	d__Bacteria	p__Proteobacteria	c__Gammaproteobacteria	o__Chromatiales	f__unknown	g__unknown	s__Chromatiales bacterium
seq_03892714	gb|AAG06942.1|ARO:3002985|arnA	63.8	448	146	5	216	653	2	443	2.4e-170	603.6	ARO:3002985	ARO:3002985	39419	5385	1643	arnA	arnA	AAG06942.1	AE004091.2	pmr phosphoethanolamine transferase	peptide antibiotic	antibiotic target alteration	0.0	0.022932	0.0	0.27863	0.303008	0.163209	0.245564	0.100936	0.061404	0.028924	0.078941	0.029533	0.025411	0.197557	0.176534	0.019032	0.0	0.0	0.019182	0.0	0.0	0.0	0.0	0.024708	0.0	0.0	0.0	0.0	0.025632	0.0	0.0	0.022486	0.0	0.041357	0.043443	0.0	d__Bacteria	p__Proteobacteria	c__Deltaproteobacteria	o__Desulfobacterales	f__Desulfobacteraceae	g__unknown	s__Desulfobacteraceae bacterium IS3
seq_04060679	gb|AAG06942.1|ARO:3002985|arnA	74.2	275	70	1	337	610	1	275	4.6e-121	439.9	ARO:3002985	ARO:3002985	39419	5385	1643	arnA	arnA	AAG06942.1	AE004091.2	pmr phosphoethanolamine transferase	peptide antibiotic	antibiotic target alteration	0.0	0.0	0.0	0.0	0.026767	0.0	1.15147	0.391963	0.517222	0.057512	0.052858	0.0	0.101904	0.168876	0.100169	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.041837	0.041932	0.0	0.110296	0.0	0.0	0.0	0.0	0.0	0.16593	0.043319	0.0	d__Bacteria	p__Proteobacteria	c__Deltaproteobacteria	o__Desulfobacterales	f__Desulfobacteraceae	g__Desulfobacter	s__Desulfobacter curvatus
seq_06077371	gb|ADT70779.1|ARO:3001805|OXA-198	62.7	201	75	0	61	261	2	202	2.3000000000000002e-71	273.5	ARO:3001805	ARO:3001805	38205	969	758	OXA-198	OXA-198	ADT70779.1	HQ634775	OXA beta-lactamase	carbapenem;cephalosporin;penam	antibiotic inactivation	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.086681	0.0	0.0	0.0	0.0	0.0	0.062913	0.556572	0.335488	0.0	0.0	0.242658	0.0	0.0	0.0	0.0	0.0	0.279126	0.0	0.229791	0.0	0.070601	0.0	0.0	d__Bacteria	p__Proteobacteria	c__Gammaproteobacteria	o__Chromatiales	f__Chromatiaceae	g__Thiocapsa	s__Thiocapsa sp. KS1
seq_05554923	gb|ADT70779.1|ARO:3001805|OXA-198	60.2	166	66	0	46	211	3	168	3.5e-56	223.0	ARO:3001805	ARO:3001805	38205	969	758	OXA-198	OXA-198	ADT70779.1	HQ634775	OXA beta-lactamase	carbapenem;cephalosporin;penam	antibiotic inactivation	0.0	0.0	0.0	0.175734	0.0	0.445104	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.145212	0.0	0.0	0.0	0.0	0.521731	0.584072	0.0	0.115329	0.0	0.242659	0.0	0.0	0.0	0.14216	0.0	0.0	0.0	0.117918	0.0	0.108855	0.0	0.0	d__Bacteria	p__Proteobacteria	c__Gammaproteobacteria	o__Chromatiales	f__Chromatiaceae	g__Thiocapsa	s__Thiocapsa sp. KS1
seq_05927822	gb|ADT70779.1|ARO:3001805|OXA-198	60.8	194	76	0	69	262	1	194	6.2e-69	265.4	ARO:3001805	ARO:3001805	38205	969	758	OXA-198	OXA-198	ADT70779.1	HQ634775	OXA beta-lactamase	carbapenem;cephalosporin;penam	antibiotic inactivation	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.425161	0.087055	0.0	0.0	0.0	0.0	0.0	0.071141	0.0	0.187126	0.203937	0.09693	0.168038	0.20247	0.0	0.0	0.0	d__Bacteria	p__Proteobacteria	c__Gammaproteobacteria	o__Chromatiales	f__Chromatiaceae	g__Thiocapsa	s__Thiocapsa sp. KS1
seq_06279234	gb|CAA09666.1|ARO:3004122|Klebsiella	63.6	77	26	1	1	75	21	97	1.6e-17	95.1	ARO:3004122	ARO:3004122	41247	4406	2785	Klebsiella pneumoniae OmpK37	Klebsiella pneumoniae OmpK37	CAA09666.1	AJ011502.1	General Bacterial Porin with reduced permeability to beta-lactams	carbapenem;cephalosporin;cephamycin;monobactam;penam;penem	reduced permeability to antibiotic	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.414307	2.09492	1.27297	0.795173	0.0	0.0	1.45977	0.0	1.05367	0.0	0.56719	0.0	0.0	0.0	0.0	0.0	0.0	0.0	d__Bacteria	p__Proteobacteria	c__Gammaproteobacteria	o__Enterobacterales	f__Enterobacteriaceae	g__Escherichia	s__Escherichia coli
